English,Chinese
There is a knife missing.,少一把刀。
At one time Nigeria was a British colony.,尼日利亞曾經是英國的殖民地。
"Hey, Tom, forget about your worries.",汤姆，把烦恼忘掉吧。
I'm sure you'll love what we have on the menu tonight.,我肯定你会喜欢我们今晚的菜肴。
No medicine can cure this disease.,没有药物能够治疗这种疾病。
Any book will do.,哪一本书都行。
Do you know which book sells well now?,你知道现在哪本书卖得好吗？
"However you do it, the result will be the same.",你無論用甚麼方法，結果都是一樣。
"Not knowing what answer to make, I kept silent.",我不知道該怎麼回答，便乾脆甚麼也不說。
How's the weather?,天气怎么样？
Every Jack must have his Jill.,每個人都可以找到他的另一半 。
I wouldn't sell that at any price.,任何價格我都不會賣。
Any student can answer that question.,任何學生都可以回答這個問題。
Every man has his price.,每个人都有个价。
Every dog has his day.,凡人皆有得意时。
Anyone can do that.,任何人都可以做到。
Anybody would be better than nobody.,不管是谁总比没人好。
What did you have to eat?,你必須吃什麼?
What symptoms do you have?,你有什麼症狀？
Please inform me of any changes in the situation.,如果情况有任何变化，请务必通知我。
The smallest child knows such a simple thing.,這麼簡單的東西三歲小孩也會。
What sort of coats are in fashion this year?,今年流行甚麼款式的外套？
Feel free to ask any questions.,隨時問任何問題都可以。
Feel free to ask any questions.,尽管提问。
Why do you need change?,你為什麼需要零錢?
Any child can do that.,任何小孩都能做到。
What kind of work will you do?,你將做什麼樣的工作?
Any task may become painful.,任何任务都可能变得费力。
What sort of work do you do?,你做什么类型的工作？
Any magazine will do.,任何一本杂志都行。
I don't want there to be any misunderstanding.,我不想有任何误会。
"Whatever language you study, it takes time.",學習語言永遠不是一朝一夕的事。
No words can relieve her deep sorrow.,語言不能減輕她的悲痛。
"Whatever results may follow, I will carry out my plan.",無論結果會是怎樣，我也不會改變我的計劃。
"He wanted to do it, whatever the consequences.",不管结果如何，他想要做。
I must help her at any cost.,我必须不惜一切代价帮助她。
There are exceptions to every rule.,每條規則都有例外。
Every cloud has a silver lining.,每朵雲都披著銀衣。
Every cloud has a silver lining.,山窮水盡疑無路，柳暗花明又一村。
Every cloud has a silver lining.,塞翁失马
What kind of wine do you have?,您有什麼樣的葡萄酒？
What kind of wine do you have?,你们有哪一种红酒？
Any bed is better than no bed.,任何床都比沒有床好。
How did such a strange thing come about?,怎么会发生这么奇怪的事？
"Brush your teeth, however sleepy you are.","無論你多麼想睡, 還是要刷牙。"
"No matter how often I tell her, she keeps making the same mistake.",不管我跟她说了多少次，她还是继续犯同样的错误。
"Be it ever so humble, there's no place like home.",金窝银窝不如自己的狗窝。
No man is so old he cannot learn.,活到老，学到老。
No man is so old he cannot learn.,活到老，學到老。
"However hard I try, I can't do it any better than she can.",无论我多么努力尝试，我都无法做到比她更好。
"However hard you try, you can't finish it in a week or so.",你就算多努力，也不可能在一兩個星期內做完。
"No matter how he tried, he could not open the door.",他用盡九牛二虎之力也開不了那道門。
What sports do you like?,你喜歡什麼運動？
Nothing ever makes him angry.,沒有什麼事曾讓他憤怒。
Why do you need it?,你為什麼需要它？
Stay calm whatever happens.,無論發生甚麼事，你也要保持鎮定。
I will never sell my friend down the river for anything in the world.,無論發生甚麼事，我也絕對不會出賣我的朋友。
I can on no condition forgive her.,我绝不能原谅她。
"Whatever game I play with you, you never win.",無論我和你玩甚麼遊戲，你也總是輸。
What's your job?,你做什么工作?
What's your job?,你做什麼工作？
The thief ran away.,小偷跑了。
The thief got away with the money.,小偷帶著錢逃跑了。
Dorothy sent him a nice present.,桃樂絲送給他一個不錯的禮物。
Dorothy isn't in the office.,Dorothy 不在辦工室。
How long does it take?,要花多久時間？
How long does it take?,要多久？
Take whatever cake you want.,隨便拿一塊蛋糕吧。
You can pick out any book you like.,你可以選擇任何你喜歡的書。
Choose three books at random.,隨便選三本書。
How long can you hold your breath?,你能屏住呼吸多久？
How long will we have to wait?,我們要等多久？
How long will this rope hold?,這條繩子能撐多久?
How soon can they be delivered?,它们什么时候能被送到？
Which is your book?,哪本是你的书？
Which is your book?,哪本書是你的？
Which is your book?,哪本是你們的書？
Which is your book?,哪本是您的書？
Which is your book?,哪本書是您的？
Which is your book?,哪本書是你們的？
Tracy had never used chopsticks before then.,崔西在那之前從來沒有使用過筷子。
Tracy lost her glasses.,崔西弄丟了她的眼鏡。
You should especially not drink on an empty stomach.,你尤其不该空腹喝酒。
Please shuffle the cards carefully.,请仔细洗牌。
Playing cards is a popular pastime.,打牌是一種流行的消遣方式。
It is wrong to cheat at cards.,玩牌作弊是錯誤的。
The invention of the transistor marked a new era.,晶體管的發明標誌著一個新時代的開始。
I'd like to cash a travelers' check.,我想兌換旅行支票。
The tiger cub looked like a large kitten.,小老虎看起來像隻大貓。
A truck was standing in the middle of the road.,路中间有一辆卡车。
A truck ran over our dog.,一輛卡車輾過一隻狗。
How about going for a drive?,去開車兜風怎樣？
"Toyota Corporation announced that it would cut 1,000 positions this year.",豐田公司宣佈將會在今年裁員一千人。
"In any case, it's none of your business.",无论如何，都不关你的事。
Tom has no manners.,Tom没有礼貌。
Tom is a good cook.,汤姆是个好厨师。
Tom is a good cook.,湯姆很會做飯。
Tom was late for dinner.,湯姆晚餐遲到了。
Tom often fails to keep his word.,汤姆经常不守约。
Tom likes to play baseball.,湯姆喜歡打棒球。
Tom kept talking all night.,湯姆整夜一直在說話。
Tom kept talking all night.,汤姆说了一整晚。
Tom is coming to our school tomorrow.,湯姆明天會來我們的學校。
Tom will go there tomorrow.,湯姆明天會去那裡。
Tom is leaving Kobe tomorrow morning.,湯姆明天早上離開神戶。
Tom is very kind.,汤姆人很好。
Tom gets up at six every morning.,湯姆每天早上六點起床。
Tom appealed to his mother to buy a new toy for him.,汤姆请求妈妈给他买新玩具。
Tom goes to school on foot.,湯姆走路去上學。
Tom likes to knit.,湯姆喜歡編織。
It is said that Tom has a cold.,据说汤姆感冒了。
"Tom said he was ill, which was a lie.",湯姆說他病了，是在說謊。
Tom frowned.,湯姆皺著眉頭。
Tom saved her from the fire.,汤姆把她从火灾中救了出来。
Tom showed her the letter from Santa Claus.,汤姆给她看了圣诞老人寄来的信。
Tom told her that he had written that poem two years before.,汤姆告诉她那首诗是自己两年前写的。
Tom was unhappy because she wouldn't ask him anything.,汤姆很不高兴，因为她从来不征求他的意见。
Tom knocked him down.,汤姆把他揍得满地找牙。
Tom recommended the novel to them.,汤姆向他们推荐了那本小说。
Tom is liked by his friends.,汤姆的朋友都很喜欢他。
Tom will be scolded by his father.,汤姆会被他老爸教训的。
Tom is the tallest in his class.,湯姆是班上最高的。
Tom is as tall as any student in his class is.,汤姆不比他班上的其他同学矮。
Tom thanked me for the gift.,湯姆為這個禮物感謝我。
Tom thanked me for the gift.,汤姆谢谢我送他礼物。
Tom advised him not to buy the secondhand car.,汤姆劝他别买二手车。
Tom is tall and likewise strong.,汤姆又高又壮。
Tom worked the clay into a vase.,湯姆把黏土塑成了一個花瓶。
Tom married an older girl.,汤姆娶了一个比他大的女孩。
Tom is in bed with a fever.,汤姆发烧了，正躺在床上。
Tom is a fluent speaker of Japanese.,湯姆日語說得很流利。
Tom is a fluent speaker of Japanese.,汤姆日语说得很流利。
Tom wants to go to Japan.,湯姆想去日本。
Tom received a heavy blow on the head.,汤姆的头部受了重重的一击。
Tom told us that he had a headache.,汤姆告诉我们他头疼。
Tom took his girlfriend out on Saturday night.,周六晚上汤姆带他女朋友出去约会了。
Tom is interested in mountaineering.,湯姆對登山感興趣。
Tom is interested in mountaineering.,汤姆对登山很感兴趣。
Tom is an electrical engineer.,湯姆是一個電子工程師。
Tom has less money than his brother does.,汤姆没他哥有钱。
Tom has less money than his brother does.,汤姆没他弟有钱。
Tom called to her across the street.,汤姆在街的那边向她打招呼。
Tom looked at the tall man suspiciously.,汤姆用怀疑的目光盯着那个高个子男人。
Tom talked too much and let the secret slip.,汤姆话太多，不小心把秘密泄露了出去。
Tom stood on the platform in Westminster Underground Station.,汤姆站在威斯敏斯特地铁站的站台上。
Tom is ill at ease among strangers.,周围全是陌生人，这让汤姆感到很不自在。
Tom attached the string to the kite.,湯姆把繩子加在了這個風箏上。
Tom attached the string to the kite.,汤姆把线拴在了风筝上。
"Tom is not a lazy boy. As a matter of fact, he works hard.",汤姆其实并不懒，相反他很勤奋。
Tom regretted having wasted a great deal of his life.,汤姆为自己浪费了大好的青春年华感到非常后悔。
Tom can run fast.,Tom可以跑得很快。
Tom can run fast.,汤姆跑得很快。
Tom is head and shoulders above others.,汤姆比其他人都优秀能干。
Tom broke the window.,湯姆打破了窗戶。
Tom broke the window pane.,汤姆把窗玻璃打烂了。
"Tom expected to leave early in the morning, but he overslept.",汤姆本想早上早点出发，结果却睡过头了。
"Tom never used to smoke, but he does now.",汤姆以前从不抽烟，不过现在开始抽了。
Tom is more clever than honest.,与其说汤姆诚实，不如说他聪明。
Tom is a student.,湯姆是個學生。
"As Tom is honest, I like him.",我喜欢汤姆，因为他很诚实。
Tom is too honest a boy to tell a lie.,汤姆太老实了，连撒谎都不会。
I believe Tom is right.,我相信湯姆是對的。
Tom is interested in mathematics.,湯姆是對數學感興趣。
Tom is interested in mathematics.,湯姆對數學感興趣。
Tom likes hot curry.,湯姆喜歡辣咖哩。
Tom is able to swim well.,湯姆游泳可以游得很好。
Tom is able to swim well.,汤姆会游泳，游得很好。
"Tom's a beginner, but he catches on fast.",湯姆是個初學者，但他趕上得很快。
He gave Tom an important position.,他給了湯姆一個重要的地位。
Tom lost his job.,湯姆丟了工作。
Tom drove the car.,汤姆开的车。
Tom bought a brand-new car.,Tom买了辆崭新的车。
Tom was at a loss how to express himself.,湯姆不知道如何表達自己。
Tom is older than I.,湯姆年紀比我大。
Tom enjoys playing tricks on me.,湯姆很喜歡作弄我。
Tom gave me a pen.,湯姆給了我一枝筆。
Tom got so absorbed in his work that he forgot to eat.,汤姆太专注于他的工作，以至于忘了吃饭。
Tom hit a triple.,湯姆擊出三壘安打。
Tom didn't have dinner last night.,湯姆昨晚沒吃晚餐。
Tom watched TV yesterday.,Tom昨天看了电视。
Did Tom help his mother yesterday?,湯姆昨天幫他媽媽的忙嗎？
Tom need not go to school today.,湯姆今天不應該上學。
Tom should be here any minute.,湯姆應該隨時就會到這裡。
Tom isn't watching TV now.,湯姆現在沒在電視。
Tom is living with his uncle now.,湯姆現在跟他叔叔住在一起。
Tom is playing the violin now.,湯姆正在拉小提琴。
Tom is a high school student.,湯姆是個高中生。
Tom is growing a mustache.,湯姆留著小鬍子。
Tom was badly injured in a traffic accident.,湯姆在交通意外中受了重傷。
Tom went back to his hometown.,湯姆回鄉下了。
Tom came on Monday and went back the day after.,汤姆星期一来的，第二天返回了。
Tom is absent.,湯姆缺席。
Tom is absent.,汤姆不在。
Tom slipped out of the classroom.,湯姆溜出了教室。
Tom looks pale.,湯姆看起來很蒼白。
Tom hurt himself.,湯姆弄傷了自己。
Tom is the tallest in his family.,湯姆是他家裡最高的。
Tom is in the house.,湯姆在這棟房子裡。
Tom is in the house.,湯姆在家裡。
Tom looked worried about the result of an English test.,Tom看上去对英语测试的结果很担心。
Tom likes swimming.,湯姆喜歡游泳。
Tom became popular among teenagers as soon as he made his debut on the screen.,汤姆第一次上电视后就广受青少年的欢迎。
"Tom, who had been working all day, wanted to have a rest.",工作了一整天的汤姆想要休息一下。
Tom has no friends to play with.,湯姆沒有朋友可以一起玩耍。
Tom is a good worker.,湯姆是個好工人。
Tom walks slowly.,汤姆走得很慢。
Tom is thinking about applying for a better-paying job.,汤姆正考虑应聘薪酬更高的工作。
Tom is still hospitalized.,汤姆还在住院。
Tom cut classes again.,汤姆又逃课了。
Does Tom still rely on his parents?,汤姆还在依赖他父母吗?
Tom doesn't run as fast as Bill.,湯姆跑得不如比爾快。
How fast Tom works!,湯姆工作得多麼快啊!
Tom wants to be a pilot.,Tom 想成為一個飛機師。
Does Tom like tomatoes?,Tom喜不喜欢吃西红柿？
How fast Tom speaks!,汤姆说得多快啊！
Tom runs very fast.,湯姆跑得快。
Tom swims very fast.,湯姆游泳游得非常快。
Where was Tom born?,Tom在哪里出生的？
Tom finally gave up smoking.,汤姆终于戒烟了。
Tom can't play tennis.,汤姆不会打网球。
Tom is a very good tennis player.,湯姆是一個非常好的網球選手。
Tom made some mistakes in the test.,湯姆在考試中犯了一些錯誤。
Tom hid under the table.,Tom躲在桌子底下。
Tom doesn't like cheese.,湯姆不喜歡乳酪。
Tom likes cheese.,Tom喜欢之士。
Tom likes cheese.,汤姆喜欢芝士。
Tom likes cheese.,湯姆喜歡起司。
Tom may have missed the train. He hasn't come yet.,湯姆到了現在還沒來，說不定是沒趕上火車。
Tom filled out the application form.,湯姆填寫了申請表。
Tom got angry at the children.,湯姆對孩子們生氣。
Tom applied for the job.,湯姆申請了這份工作。
Tom showed interest in the plan.,湯姆對這個計劃有興趣。
It looks like Tom won the race.,看起來像是湯姆贏得了比賽。
Tom was all worn out.,湯姆完全筋疲力盡了。
Tom will be able to swim soon.,湯姆將很快就會游泳了。
Tom made Jill a new dress.,湯姆做了一套新衣服給吉兒。
Tom is on good terms with John.,汤姆和约翰关系很好。
Tom is as tall as Jack.,湯姆和傑克一樣高。
Tom heard this and got angry.,聽到這事之後，湯姆為之色變。
Tom is the captain of this baseball team.,湯姆是這隊棒球隊的隊長。
Tom was sick in bed last Sunday.,湯姆上週日臥病在床。
Tom likes tea better than coffee.,湯姆喜歡茶勝過咖啡。
Tom walked Kate home.,湯姆陪凱特走回家。
Tom came home early yesterday.,湯姆昨天提早回來了。
Tom is taller than his mother.,湯姆比他的母親高。
Tom is as tall as his father.,湯姆跟他爸爸一樣高。
Tom denied having stolen the money.,Tom否认偷了钱。
Tom is always watching television.,湯姆總是在看電視。
Tom is always playing video games.,湯姆總是在玩電視遊樂器。
Tom is not as old as you.,湯姆的年紀不比你大。
Tom is not as old as you.,湯姆年齡沒你大。
Tom can swim as fast as you.,湯姆游泳可以游得跟你一樣快。
Tom said that he had been cleaning the house all day.,汤姆说他打扫屋子打扫了一天。
Tom lived in Japan for ten years.,湯姆住在日本十年了。
Tom is better at science than anyone else in his class.,汤姆的科学成绩比班上的任何一个人都要好。
Tom is a friend of mine.,湯姆是我朋友中的其中一位。
Tom's friends called him Mr Money Bags.,湯姆的朋友們叫他財神爺。
Tom's hope was to win first prize.,湯姆希望贏得第一名。
Tom's Japanese is improving little by little.,湯姆的日語一點一點地漸漸進步中。
Where is Tom's classroom?,湯姆的教室在哪裡？
Tom's speech was excellent.,湯姆的演講非常好。
Tom's grandmother looks healthy.,汤姆的祖母好像身体很好。
Tom's uncle keeps a lot of sheep.,湯姆的叔叔養了很多羊。
Tom has many talents.,汤姆多才多艺。
Tom and I are friends.,湯姆和我是朋友。
Tom and my secret came to light.,汤姆和我之间的秘密被曝光了。
Tom and I have nothing in common.,我和TOM没有共同点。
Tom and I have nothing in common.,湯姆和我沒有相似之處。
Tom and I are good friends.,湯姆和我是好朋友。
Tom and I are good friends.,汤姆和我是好朋友。
Tom is engaged to Ruth.,湯姆和露絲訂婚了。
Tom and Frank are good friends.,湯姆和弗蘭克是好朋友。
I am on speaking terms with Tom.,我和汤姆无话不说。
Tom and Sue love each other.,湯姆和蘇彼此相愛。
Tom and Sue love each other.,汤姆和苏互相爱着对方。
Tom and Nancy broke up last month.,湯姆和南西上個月分手了。
Tom and John are good friends.,Tom 和 John 是好朋友。
Tom is as tall as Jim.,湯姆和吉姆一樣高。
Tom and Jane got married last month.,Tom 和 Jane 在上個月結婚了。
Tom and Jane got married last month.,湯姆和珍上個月結婚了。
"Tom and Jane quarreled, but they made up the next morning.",湯姆和珍吵了架，但是第二天早上就和好如初了。
Aren't you Tom?,你不是湯姆嗎?
Aren't you Tom?,你不是湯姆嗎？
"Tom got first prize, didn't he?",湯姆得了第一名，不是嗎?
I wish Tom were my younger brother.,我希望湯姆是我的弟弟。
I wish Tom were my younger brother.,但願湯姆是我的弟弟。
Tom found me a taxi.,湯姆幫我叫了輛計程車。
"Tom ran and ran, until at last he saw the telephone booth.","湯姆跑啊跑, 直到他終於看到了電話亭。"
No sooner had Tom turned on the TV than the fuse blew.,湯姆一打開電視，保險絲就燒了。
Uncle Tom is my mother's brother.,湯姆叔叔是我媽媽的兄弟。
"Tom, what would you like to have for dinner?","Tom, 晚餐想吃啥？"
"Tom, what would you like to have for dinner?",湯姆，你晚飯想吃什麼？
"How are you, Tom?",你好嗎，湯姆？
Tommy couldn't answer the last question.,湯米不會回答最後一個問題。
"The tomato is a vegetable, not a fruit.",番茄是蔬菜而不是水果。
The tomato is subject to a number of diseases.,番茄容易遭受很多病害。
Miss Thomas teaches us history.,湯姆斯小姐教我們的歷史。
Miss Thomas teaches us history.,托马斯小姐教我们历史。
Thomas was named after his father.,湯馬斯是以他父親的名字被命名的。
Thomas Edison invented the light bulb.,愛迪生發明了電燈炮。
I hesitated about which road to take.,我猶豫了一會，不知道走哪條路才好。
How formal is this ceremony?,这个典礼有多正式?
To what extent can he be trusted?,可以相信他到什麼程度？
Every teacher does their best.,每位老师都尽力了。
None of the teachers could solve the problem.,所有的老师都无法解决这个问题。
None of the teachers could solve the problem.,这道题目没有一位老师会做。
Each student has a locker.,每個學生都有一櫃子。
Every student has to leave school by six.,每位學生必須最晚六點放學。
Whichever way we choose will involve danger.,不管我们选哪条路，都会有危险。
Each boy has a bike.,每個男孩都有一台自行車。
Where does it hurt?,哪裡痛?
Where does it hurt?,哪裡疼?
Where does it hurt?,哪兒疼啊？
Where does it hurt?,哪兒痛？
Where does it hurt?,哪兒疼？
I haven't decided which job to apply for.,我还没确定找哪份工作。
Which dog is yours?,哪只狗是你的？
Which shoes are you going to put on?,你将穿哪双鞋？
What season do you like the best?,你最喜歡哪個季節？
What season do you like the best?,您最喜欢哪个季节？
What fruit do you like the best?,你最喜欢什么水果？
What fruit do you like the best?,你們最喜歡什麼水果？
What fruit do you like the best?,您最喜歡什麼水果？
I like English best of all subjects.,所有学科中，我比较喜欢英语。
Which house did you live in?,你以前住的是哪一座房子？
How soon will the meeting begin?,会议什么时候开始？
He explained how the accident came about.,他解释事故是怎么发生的。
How can I get to the police station?,請問警察局怎麼走？
How can I get to the police station?,我怎么去警察局？
How did the car accident come about?,車禍是怎麼發生的？
How did you arrive at this conclusion?,你们怎么得出这个结论的？
How did you come here?,你是怎麼來到這裏的？
How do you want your hair cut?,你想怎麼剪你的頭髮？
How do you want your hair cut?,你想將頭髮剪成怎樣？
I don't know which button to push.,我不知道要按哪個按鈕。
"Every team, without exception, was defeated.",每个队都无一例外地被打败了。
Which is your favorite team?,你最喜歡哪一隊?
Which credit cards can I use?,我可以用哪些信用卡？
How long have you been abroad?,你在國外多久了？
How much longer will I have to stay in the hospital?,我必須要在醫院再呆多長的時間呢？
How long will you be staying?,你会待多长时间？
How long have you been waiting for me?,你等我多久了？
How much will it cost?,这要多少钱？
How long will it stop there?,它將停在那裡多久?
How long have you been learning English?,你学英语学了好久了？
How long do you plan to stay?,你准备待多久？
Every dog is alive.,每条狗都活着。
Thank you just the same.,还是要说谢谢的。
Thank you just the same.,無論如何，謝了！
"In any case, I'll call you tomorrow.",無論如何我明天都會打電話給你。
"It's too late, anyhow.",反正已經太晚了。
Eat and drink.,吃吧，喝吧。
Just put those packages anywhere.,只要把那些包包放在任何地方都行。
"In any case, I must finish this work by tomorrow.",無論如何我一定要在明天前完成這工作。
Does Tony study after dinner?,托尼晚饭后学习吗？
Tony runs every day.,托尼每天都跑步。
Tony speaks English as well as you.,湯尼英語說得和你一樣好。
Tony speaks English as well as you.,托尼的英语和你说得一样好。
Tony speaks English as well as you.,托尼说英语说得跟你一样好。
Tony's voice is nice.,Tony的声音好听。
Tony broke it.,湯尼弄壞了它。
What a good tennis player Tony is!,托尼打網球打得真好啊！
Donna was born with a silver spoon in her mouth.,Donna是含着金钥匙出生的。
Who do you want to speak to?,你想跟誰說話？
"Though very busy, she came to see me off.",尽管很忙，她还是来送我了。
He's very forgetful of things.,他很健忘。
I am too tired to walk any more.,我累得走不動了。
I'm so tired that I can't walk any longer.,我累得走不動了。
I'm too tired to walk any longer.,我累得走不動了。
They are very big.,他們非常大。
It was so still that you would have heard a pin drop.,安靜到連針掉在地上的聲音你都會聽得到。
It's too hot for us to work.,太熱了所以我們無法工作。
It was so hot that I got into the shade and took a rest.,因為天氣很熱，所以我就走到陰涼的地方歇了一會兒。
I really appreciate what you've done.,我真的很感激你所做的一切。
The weather was so cold that the lake froze over.,天冷得足以让湖结冰。
It was so cold that no one wanted to go outside.,天太冷了，以至于没人想去外面。
"Though it was very cold, I went out.",雖然天氣很冷，但我還是出去了。
The child had no overcoat on although it was very cold.,雖然天氣很冷，但那小孩也沒有穿外套。
The child had no overcoat on although it was very cold.,尽管天气很冷，孩子却没有大衣穿。
I feel very cold.,我真的冷。
I had a wonderful time.,我度過了美好的時光。
I had a wonderful time.,我玩得很愉快。
It was so dark.,好暗。
It is too dark for me to read.,太暗了我無法讀。
It was really cheap.,它真的很便宜。
This is anything but easy.,这一点都不容易。
I was very hungry.,我很饿。
You look very delighted.,你看起來很高興。
Pretty good. Did you go to today's history seminar?,非常好。你去了今天的歷史研討會嗎？
"In any case, it's troublesome, isn't it?",无论怎样，都很讨厌，不是吗？
It doesn't matter.,没关系。
"Who is this, please?",請問這是誰？
We find it difficult to decide which one to buy.,我们觉得很难决定买哪一个。
Which do you recommend?,您推薦哪個？
You may choose whichever book you like.,你可以選擇任何你喜歡的書。
Which book is better?,哪一本書比較好？
Which book is yours?,哪本是你的书？
Which book is yours?,哪本書是你的？
Which book is yours?,哪本是你們的書？
Which book is yours?,哪本是您的書？
Which book is yours?,哪本書是您的？
Which book is yours?,哪本書是你們的？
Which book is yours?,哪本书是你的？
Which cap is yours?,哪顶帽子是你的？
Which one do you think is correct?,你認為哪一個是正確的?
You can reach the park by either road.,哪条路都可以去公园哦。
Do you know which way to take?,你知道走哪條路嗎？
I wonder which way is the shortest.,我想知道哪一條路是最短的。
Neither team played well in the game.,兩組在比賽中的表現都不太好。
It doesn't matter which team wins the game.,哪个队赢得比赛并不重要。
Who do you work for?,你為誰工作？
You may choose whichever you want.,你可以選擇任何你想要的。
You may choose whichever you want.,你可以选择任何你想要的。
You may choose whichever you like.,請隨便選。
You can take whichever road you like.,你可以走任何你喜欢的路。
"You can buy whichever you like, but not both.","你喜欢哪个就买哪个,但不能两个都买。"
Take whichever you want.,拿你想要的。
We cannot tell which is better.,我们无法辨别哪个更好。
Say which one you would like.,说你想要哪个。
I can't remember which is my racket.,我不記得哪個是我的球拍。
I can't remember which is my racket.,我記不得哪把球拍是我的了。
Which is mine?,哪个是我的？
Tell me which you want.,告訴我你想要哪個。
"Which is your book, this one or that one?",你的书是什么：这本还是那本？
Who does Toshio like?,敏夫喜歡誰?
Does Toshio like Sachiko?,敏夫喜歡幸子嗎？
Toshio can speak English very well.,敏男能說流利的英語。
"By the way, did you hear that Mary quit her job?",话说，你听说玛丽辞职了吗？
"By the way, are you free tonight?",顺便问一句，你今晚有空吗？
"By the way, how many of you are keeping a diary?",对了，你们当中写日记的有几位？
"By the way, have you seen him lately?",顺便说一句，你最近见过他吗？
"By the way, what is your address?",對了，可以把你的地址告訴我嗎？
"By the way, what is your address?",对了，你的地址是什么?
"By the way, I have something to tell you.",對了，我有一件事要告訴你。
"By the way, have you ever been to Hokkaido?",顺便问一句，你们已经去过北海道了吗？
How far are you going?,你要走多遠？
Where can I park?,我能把車停哪兒呢？
Tell him where he should go.,告诉他该去哪儿。
I take my camera wherever I go.,我無論去甚麼地方也帶著相機。
Where do you want to go?,你要去哪裡？
Where do you want to go?,你想去哪裡?
Where do you want to go?,你想去哪儿？
Where do you want to go?,你想去哪儿?
Where do you want to go?,你們要去哪裡？
Information is given in English at every airport.,每个机场都有英文指示。
You know where the problem lies.,你知道问题在哪里。
Where are you planning to stay?,你打算在哪裡留宿？
I'm just another man.,我只是个大众脸。
Where did you get your hair cut?,你在哪裡剪頭髮？
Where do you work?,请问你在哪里工作？
Where do you work?,您在哪里工作？
Where do I get the subway?,我在哪裡坐地鐵？
Where do I have to change trains?,我要在哪裡換火車？
Where did you have your picture taken?,你是從哪裡照的相？
Where do I pay for the gas?,我该在哪儿付煤气费？
We haven't decided where to take a rest.,我們還沒決定我們會在哪裡休息。
Where shall we meet?,我们在哪儿见面?
"Not knowing where to get off the bus, I asked the driver.",因为我不知道应该在哪里下巴士，我问了司机。
Where did you get the idea?,你哪儿来的主意？
Where can I get a taxi?,我在哪裡可以搭到計程車？
Where did you get it?,你从哪得到它的？
Where did you get your camera repaired?,你在哪儿修的照相机？
It's a good rule to look both ways before you cross the street anywhere.,無論在甚麼地方，過馬路前也應該先看清楚左右。
Where shall I wait for you?,我该在哪儿等您？
Something must be wrong with the machinery.,這個機器一定有什麼地方不對勁。
Will you tell me where I am wrong?,你可以告訴我我錯在哪兒嗎？
Where did you come from?,你從哪裡來？
Where does it leave from?,它从哪里离开的？
Is there a telephone anywhere?,哪里有电话机？
I remember seeing her somewhere.,我記得在哪兒見過她。
Would you like to go out to have a drink somewhere?,一起出去喝杯怎么样？
Every rose has its thorn.,沒有不帶刺的玫瑰。
Let's study a specific example.,讓我們來研究一個具體的例子。
Let's study a specific example.,让我们来学习一个特殊的例子。
Keep in touch with me.,和我保持聯繫。
Every now and then he drops in at this bookstore on his way home from the office.,有時從辦公室回家的路上他會到這家書店看一看。
Every now and then I like to have hot and spicy food.,有时候我会想吃辣的东西。
Can you come?,你能來嗎？
How is it going?,你好吗？
How is it going?,你們好嗎？
"To all appearances, she is healthy.",无论从哪方面看，她很健康。
How do you go to school?,你怎么去学校？
How do you go to school?,你是怎麼去上學的？
Tell me how you solved the problem.,告訴我你如何解決了這個問題。
"Evidently, it's going to rain tomorrow.",明天肯定会下雨。
He seems to know all about her past.,他對她的過去似乎瞭如指掌。
He seems to have been ill for a long time.,他好像已經病了很久了。
How did the secret get out?,这秘密是怎么泄漏出去的？
How do you make a box?,怎麼做箱子？
How can we put it into practice?,我们怎样才能将其付出实践？
How did you find my house?,你怎么找到我的房子的？
How did you make it?,你们怎么做的？
How are you going to get home?,你打算怎麼回家？
I can't remember how to go there.,我不記得怎麼去那裡了。
I can't figure out what he means.,我不懂他的意思。
I seem to have a temperature.,我好像发烧了。
I seem to have a fever.,我好像发烧了。
I'm sorry.,不好意思……
I'm sorry.,对不起。
I'm sorry.,我很抱歉。
"Oh, I don't know if I agree with you.",哦，我不知道我是不是认同你。
I don't get it.,我不明白。
I don't get it.,我不懂。
I think I'd better stay here.,我想我最好留在這裏。
"I'm just looking, thank you.","我只是看看, 謝謝你。"
After all she did not come.,最后她没有来。
"At last, the truth was revealed to us.",真相總算在我們面前揭曉了。
"In the end, because of the disease, he became unable to walk and had to use a motorized wheelchair to get around.",最後，他的病奪去了他走路的能力，想去哪兒也要用電動輪椅來代步。
Go ahead with your story.,繼續說你的故事吧。
Please give us some examples.,可以舉幾個例子嗎？
Please tell me the truth.,请告诉我真相。
Please take off your hat.,请您摘下您的帽子。
Please keep it secret.,請保守秘密。
Please knock before you come in.,进来之前请敲门。
Would you please tell me the way?,請你告訴我路怎麼走好嗎？
May you live long!,祝你长命百岁！
Please drive carefully.,請小心駕駛。
Please take good care of yourself.,請好好照顧你自己。
Please help me with my homework.,請幫我做我的家庭作業。
"Stand back, please.",请往后退一点。
"Give me your opinion, please.",請給我你的意見。
Please feel free to call me up.,請隨時都可以打電話給我。
Please feel free to ask questions.,歡迎隨時提問。
Please feel free to ask questions.,尽管提问。
Please tell me the way to the XYZ store.,请告诉我去XYZ的路。
"Open the door, please.",請把門打開。
"Open the door, please.",请开门。
"Close the door, please.",请关门。
"Close the door, please.",請關上門。
"Close the door, please.",請關門。
Please tell me your address.,请告诉我你的地址。
Be my guest.,做我的客人吧。
